"","year","Row","Column","type","blk","gc","rs","depth","mass","Nitrospinota","WS2","Deinococcota","GAL15","SAR324 clade(Marine group B)","Abditibacteriota","Sumerlaeota","NB1-j","Campylobacterota","Entotheonellaeota","RCP2-54","FCPU426","Dependentiae","Bdellovibrionota","WPS-2","Desulfobacterota","Patescibacteria","Methylomirabilota","Armatimonadota","Spirochaetota","Latescibacterota","Fibrobacterota","Elusimicrobiota","Planctomycetota","Gemmatimonadota","MBNT15","Hydrogenedentes","Cyanobacteria","unclassified","Nitrospirota","Myxococcota","Bacteroidota","Acidobacteriota","Firmicutes","Actinobacteriota","Verrucomicrobiota","Chloroflexi","Proteobacteria"
"Sa50",2019,"E",2,"grape","A","noGC","LV","33","235",0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,5,0,14,0,6,0,3,51,0,2,0,11,19,0,151,88,198,177,632,581,67,3005
"Sa51",2019,"E",3,"grape","A","noGC","LV","66","233",0,0,0,0,0,0,0,0,0,4,4,5,0,12,0,15,7,5,18,2,0,3,0,35,6,0,0,3,41,0,41,90,213,141,404,403,27,2393
"Sa52",2019,"E",4,"grape","A","GC","LV","0","29.3",0,0,0,0,0,0,0,0,0,0,0,0,66,41,0,47,3,0,7,0,12,0,2,47,27,9,0,2,57,0,325,411,119,99,731,566,118,3222
"Sa53",2019,"E",5,"grape","A","GC","LV","33","114",0,0,0,0,0,0,0,0,0,0,0,15,6,9,0,8,29,0,84,0,0,0,10,53,39,0,0,5,42,0,136,286,759,88,288,984,154,3786
"Sa54",2019,"E",6,"grape","A","GC","LV","66","154",0,2,0,5,0,0,0,0,0,0,0,9,40,45,2,0,79,0,43,0,18,6,25,81,35,0,3,11,38,53,181,444,988,550,969,1296,149,4310
"Sa55",2019,"E",7,"grape","A","GC","MV","0","109.5",0,0,0,0,17,0,2,6,0,29,0,0,0,9,0,23,0,3,14,4,27,0,0,110,8,0,0,3,40,3,316,105,146,179,1103,702,218,4173
"Sa56",2019,"E",8,"grape","A","GC","MV","33","128.6",0,2,0,0,0,0,2,0,0,0,0,9,7,22,0,13,14,0,50,23,0,0,13,84,2,0,0,2,48,14,393,566,1187,78,822,636,164,3967
"Sa57",2019,"E",9,"grape","A","GC","MV","66","168.1",0,0,0,0,0,0,0,0,0,0,0,0,17,16,2,0,0,0,109,0,13,7,0,24,6,0,0,0,44,2,400,17,363,197,671,630,180,4764
"Sa58",2019,"E",10,"grape","A","noGC","MV","0","127.5",0,0,0,0,4,0,0,0,0,2,0,0,5,43,0,4,2,7,7,0,0,5,0,42,8,0,0,0,36,53,71,407,177,211,644,420,40,2418
"Sa59",2019,"E",11,"grape","A","noGC","MV","33","105.8",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,12,0,0,14,2,0,8,31,73,0,0,0,32,29,185,98,463,138,687,523,92,3872
"Sa60",2019,"E",12,"grape","A","noGC","MV","66","149.7",2,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,2,6,9,0,0,2,0,21,0,3,0,0,8,22,85,153,116,84,197,163,63,1873
"Sa61",2019,"F",1,"grape","B","GC","LV","0","17.7",0,0,0,0,0,0,0,0,0,0,0,0,23,108,0,207,35,2,108,43,78,47,31,361,85,0,0,2,52,10,669,2141,409,37,1661,1524,993,8097
"Sa62",2019,"F",2,"grape","B","GC","LV","33","131",0,0,0,0,0,47,0,0,0,0,0,0,102,25,0,27,7,0,31,33,13,55,6,30,16,0,0,0,12,4,25,1472,82,25,318,621,103,4738
"Sa63",2019,"F",3,"grape","B","GC","LV","66","121",0,0,0,0,0,0,0,0,0,0,22,36,15,12,0,0,17,0,42,7,6,0,8,37,23,0,0,0,31,38,180,187,759,76,512,705,224,5259
"Sa64",2019,"F",4,"grape","B","noGC","LV","0","107.5",0,0,0,0,0,32,0,14,0,28,0,0,68,55,0,9,28,9,20,0,47,0,0,234,57,0,2,5,113,92,410,2757,294,541,1713,1841,485,7800
"Sa65",2019,"F",5,"grape","B","noGC","LV","33","107",0,0,0,0,10,0,0,0,0,0,0,0,23,11,0,0,26,3,2,51,0,5,9,67,14,0,0,8,36,0,138,880,956,179,1038,542,265,4779
"Sa66",2019,"F",6,"grape","B","noGC","LV","66","130.4",0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,21,0,3,34,2,0,0,0,50,0,0,0,0,52,28,68,126,455,147,560,761,79,5978
"Sa67",2019,"F",7,"grape","B","GC","MV","0",".",0,0,0,0,0,0,0,0,0,5,0,0,0,34,0,25,7,0,2,2,12,9,0,49,24,0,0,0,44,0,150,1390,188,124,1061,722,15,2499
"Sa68",2019,"F",8,"grape","B","GC","MV","33","121",0,0,0,0,0,0,47,0,0,34,0,0,35,29,0,0,12,0,27,0,10,0,16,248,77,40,0,147,67,11,346,592,534,85,2035,376,623,3037
