"","year","type","blk","gc","rs","depth","mass","newroot","WS2","WS1","Halanaerobiaeota","Hydrogenedentes","Deinococcota","Abditibacteriota","Sumerlaeota","FCPU426","Spirochaetota","NB1-j","Elusimicrobiota","Fibrobacterota","SAR324 clade(Marine group B)","Patescibacteria","Entotheonellaeota","Bdellovibrionota","WPS-2","Cyanobacteria","unclassified","Latescibacterota","Armatimonadota","MBNT15","RCP2-54","Dependentiae","GAL15","Methylomirabilota","Desulfobacterota","Planctomycetota","Nitrospirota","Gemmatimonadota","Myxococcota","Acidobacteriota","Bacteroidota","Chloroflexi","Firmicutes","Actinobacteriota","Verrucomicrobiota","Proteobacteria"
"SF87",2020,"grape","D","GC","LV",66,0.7575,36,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,51,0,0,18,0,19,0,0,37,0,52,0,227,77,51,132,887,1047,447,1061,1048,1136,4308
"SF88",2020,"grape","D","noGC","LV",0,0.605,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,10,2,0,0,0,104,5,0,0,177,41,0,430,675,594,221,224,1107,940,3645
"SF89",2020,"grape","D","noGC","LV",33,0.776,16.5,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,2,26,6,9,0,0,0,0,0,51,0,0,120,68,163,130,649,109,587,413,1094,591,2224
"SF90",2020,"grape","D","noGC","LV",66,0.6545,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,20,9,0,25,0,52,0,0,54,0,0,10,162,0,0,233,754,1626,295,273,494,676,6465
"SF91",2020,"grape","D","noGC","MV",0,0.276,6.5,0,0,0,0,0,0,3,0,0,0,0,0,0,26,0,45,0,0,24,0,14,0,0,168,0,20,100,110,35,17,394,217,1162,260,547,1577,998,5690
"SF92",2020,"grape","D","noGC","MV",33,0.5785,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,39,2,0,37,0,0,31,0,0,0,32,62,98,367,763,486,367,719,1746,820,5029
"SF93",2020,"grape","D","noGC","MV",66,0.147,4.5,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0,40,0,44,5,0,104,0,0,36,0,45,0,142,59,56,159,728,329,335,221,1045,897,4647
"SF94",2020,"grape","D","GC","MV",0,0.5205,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,0,35,0,0,3,135,179,0,255,216,662,911
"SF95",2020,"grape","D","GC","MV",33,0.4445,47,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,44,0,35,0,0,107,0,7,0,250,41,52,204,733,565,208,327,1455,930,3739
"SF96",2020,"grape","D","GC","MV",66,0.6075,21,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,18,0,0,26,0,95,0,0,36,0,0,19,545,85,81,475,1394,1127,303,492,1799,1213,6913
